category,url,status_code,load_time_ms,ttfb_ms,request_count,total_bytes,seo_title,seo_meta_description,seo_canonical,seo_h1,seo_robots,images_total,images_missing_alt,images_broken,error_count,responsive_issue_count,a11y_violation_count,cls
node,/node/321,200,804,129,46,1004509,Despre centru | NORD Muntenia,,https://clauding8-model-b.ddev.site/centers/centrul-de-ortopedietraumatologie/despre-centru,,,10,0,0,3,0,6,0.0
node,/node/322,200,761,121,49,1004509,404 | NORD Muntenia,,https://clauding8-model-b.ddev.site/404,,,10,0,0,3,0,6,0.0
node,/node/7,200,3203,1080,24,76875,frontpage | NORD Muntenia,,https://clauding8-model-b.ddev.site/,,,66,4,29,2,2,11,0.0
node,/node/8,200,806,137,46,1013664,Zone vizate pentru biopsie | NORD Muntenia,,https://clauding8-model-b.ddev.site/node/8,,,11,0,0,3,0,6,0.0
node,/node/9,200,769,116,46,1021325,Intervenție chirurgicală de mastectomie | NORD Muntenia,,https://clauding8-model-b.ddev.site/node/9,,,11,0,0,3,0,6,0.0
pachete-preturi,/pachete-preturi,404,1820,166,34,565157,404 | NORD Muntenia,,https://clauding8-model-b.ddev.site/404,,,10,0,0,4,0,6,0.0
preturi,/preturi,200,1107,375,50,1805691,Preturi | NORD Muntenia,,https://clauding8-model-b.ddev.site/preturi,,,12,0,0,3,0,9,0.0
programare-online,/programare-online,200,1020,173,60,2303196,Programare online | NORD Muntenia,,https://clauding8-model-b.ddev.site/programare-online,,,10,0,0,2,0,9,0.0
specialitati,/specialitati,200,1626,281,40,936502,Laborator de Analize Medicale | NORD Muntenia,Analize medicale complete la Spitalul NORD Muntenia Pitești. Diagnostic corect si monitorizare realizate de medici specialisti cu experienta.,https://clauding8-model-b.ddev.site/specialities/laborator-de-analize-medicale-pite%C8%99ti-spitalul-nord-muntenia,Laborator de Analize Medicale la Spitalul NORD Muntenia Pitești; Servicii și investigații; Echipa medicală; Aparate și tehnologie; Patologii și afecțiuni tratate; Proces medical; Localizare și accesibilitate; Accesează serviciile Spitalului NORD Muntenia Pitești,,11,0,0,3,0,8,0.0
specialities,/specialities/ati,200,2116,1408,45,720559,ATI | NORD Muntenia,,https://clauding8-model-b.ddev.site/specialities/ati,Main Title; Secondary Section; Accesează serviciile Spitalului NORD Muntenia Pitești,,11,0,0,5,0,8,0.0
